symbol,name,sector,security_type,board,index_membership,effective_date,end_date,source
0001.HK,CKH HOLDINGS,"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0002.HK,CLP HOLDINGS,Telecommunications and Utilities,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0003.HK,HK & CHINA GAS,Telecommunications and Utilities,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0005.HK,HSBC HOLDINGS,Financials,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0006.HK,POWER ASSETS,Telecommunications and Utilities,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0012.HK,HENDERSON LAND,Properties & Construction,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0016.HK,SHK PPT,Properties & Construction,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0027.HK,GALAXY ENT,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0066.HK,MTR CORPORATION,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0101.HK,HANG LUNG PPT,Properties & Construction,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0175.HK,GEELY AUTO,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0241.HK,ALI HEALTH,Healthcare,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0267.HK,CITIC,Conglomerates,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0285.HK,BYD ELECTRONIC,Information Technology,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0288.HK,WH GROUP,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0291.HK,CHINA RES BEER,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0300.HK,MIDEA GROUP (H),Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0316.HK,OOIL,"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0322.HK,TINGYI,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0386.HK,SINOPEC CORP (H),Energy,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0388.HK,HKEX,Financials,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0669.HK,TECHTRONIC IND,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
0688.HK,CHINA OVERSEAS,Properties & Construction,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
